dataset,rows,seed,method,status,new_model_fits,original_method_fits,elapsed_seconds,peak_memory_gib,all_loss,l1_loss,error,one_se_loss,argmin_loss,one_se_size,argmin_size,one_se_jaccard,argmin_jaccard,loss_difference,size_difference,jaccard_difference,changed_folds,one_se_minus_all,one_se_minus_l1,argmin_minus_all,argmin_minus_l1
superconductivity,5000,504,ungated-T1,complete,6,3931,0.14258912485092878,0.2257232666015625,320.05227614735094,320.07220995482135,,320.05227614735094,320.05227614735094,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.019933807470408738,0.0,-0.019933807470408738
superconductivity,5000,504,ungated-T2,complete,6,7763,0.14643812458962202,0.2361907958984375,320.05227614735094,320.07220995482135,,320.05227614735094,320.05227614735094,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.019933807470408738,0.0,-0.019933807470408738
superconductivity,5000,505,gated-T1,complete,6,3969,0.14508666563779116,0.2303009033203125,315.9700575098823,316.05285750787306,,315.9700575098823,315.9700575098823,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.08279999799077586,0.0,-0.08279999799077586
superconductivity,5000,505,gated-T2,complete,6,7845,0.13784891739487648,0.2344207763671875,315.9700575098823,316.05285750787306,,315.9700575098823,315.9700575098823,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.08279999799077586,0.0,-0.08279999799077586
superconductivity,5000,505,ungated-T1,complete,6,3932,0.14593899995088577,0.2303924560546875,315.9700575098823,316.05285750787306,,315.9700575098823,315.9700575098823,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.08279999799077586,0.0,-0.08279999799077586
superconductivity,5000,505,ungated-T2,complete,6,7767,0.13803908322006464,0.2364349365234375,315.9700575098823,316.05285750787306,,315.9700575098823,315.9700575098823,81.0,81.0,1.0,1.0,0.0,0.0,0.0,0,0.0,-0.08279999799077586,0.0,-0.08279999799077586
miniboone,3000,501,gated-T1,complete,6,2481,0.09066154155880213,0.19091796875,0.23869276653559054,0.23962703552540857,,0.26056739373574017,0.23869276653559054,21.333333333333332,50.0,0.29914529914529914,1.0,-0.021874627200149627,28.666666666666668,0.7008547008547008,3,0.021874627200149627,0.020940358210331605,0.0,-0.0009342689898180212
miniboone,3000,501,gated-T2,complete,6,4867,0.10483441594988108,0.19586181640625,0.23869276653559054,0.23962703552540857,,0.24878225800690448,0.23869276653559054,32.0,50.0,0.5609756097560976,1.0,-0.010089491471313938,18.0,0.4390243902439024,3,0.010089491471313938,0.009155222481495917,0.0,-0.0009342689898180212
miniboone,3000,501,ungated-T1,complete,6,2442,0.07136562559753656,0.1942138671875,0.23869276653559054,0.23962703552540857,,0.24888504231138273,0.24642369442532522,26.666666666666668,32.0,0.488999888999889,0.6273504273504273,-0.0024613478860575078,5.333333333333332,0.13835053835053834,1,0.010192275775792181,0.00925800678597416,0.007730927889734673,0.006796658899916652
miniboone,3000,501,ungated-T2,complete,6,4782,0.08632616605609655,0.1966552734375,0.23869276653559054,0.23962703552540857,,0.24577031696017868,0.24027785606977878,26.666666666666668,44.0,0.5177530471648119,0.7600000000000001,-0.005492460890399897,17.333333333333332,0.24224695283518827,2,0.0070775504245881304,0.006143281434770109,0.0015850895341882332,0.000650820544370212
miniboone,3000,502,gated-T1,complete,6,2481,0.0732582500204444,0.1887969970703125,0.2485277522651054,0.24746706776020658,,0.26520378114540727,0.2525127537023357,21.333333333333332,38.0,0.28136752136752136,0.613658536585366,-0.012691027443071545,16.666666666666668,0.3322910152178446,3,0.01667602888030187,0.017736713385200692,0.003985001437230323,0.005045685942129147
miniboone,3000,502,gated-T2,complete,6,4869,0.06948183290660381,0.1950225830078125,0.2485277522651054,0.24746706776020658,,0.26984020905677303,0.25020729431892136,18.666666666666668,38.0,0.2698412698412698,0.5894573643410853,-0.01963291473785167,19.333333333333332,0.3196160944998155,2,0.021312456791667628,0.02237314129656645,0.0016795420538159578,0.002740226558714781
miniboone,3000,502,ungated-T1,complete,6,2441,0.06343454122543335,0.1919097900390625,0.2485277522651054,0.24746706776020658,,0.2606088884908215,0.2518437519245271,21.333333333333332,32.0,0.3333333333333333,0.5497825675931178,-0.008765136566294351,10.666666666666668,0.21644923425978452,2,0.012081136225716077,0.0131418207306149,0.0033159996594217256,0.004376684164320549
