n,rho,snr,contexts,control,seeds,valid,valid_fraction,compute_matched,local_passes,control_passes,local_wins,local_losses,ties,clears_minimum_effect,max_measured_imbalance,failure_reasons,qualified_recall_difference_n,qualified_recall_difference_mean,qualified_recall_difference_mcse,qualified_recall_difference_low,qualified_recall_difference_high,loss_difference_n,loss_difference_mean,loss_difference_mcse,loss_difference_low,loss_difference_high,size_difference_n,size_difference_mean,size_difference_mcse,size_difference_low,size_difference_high,jaccard_between_methods_n,jaccard_between_methods_mean,jaccard_between_methods_mcse,jaccard_between_methods_low,jaccard_between_methods_high
300,0.9,0.25,4,global,10,7,0.7,10,7,8,1,0,6,1,0.0,"{""both_failed_constraints"": 2, ""candidate_failed_constraints"": 1}",7,0.015873015873015872,0.015873015873015872,-0.02296685478007903,0.054712886526110775,10,0.07241320745041166,0.052736180026445124,-0.0468843199350268,0.1917107348358501,10,0.033333333333333305,0.18223577185396359,-0.3789126232841699,0.44557928995083657,10,0.7522222222222222,0.05795556691660875,0.6211176213977851,0.8833268230466593
300,0.9,0.25,4,loco-matched,10,3,0.3,10,7,3,1,1,1,1,0.030831099195710455,"{""both_failed_constraints"": 3, ""comparator_failed_constraints"": 4}",3,0.037037037037037035,0.09799078929868854,-0.38458330002926955,0.4586573741033436,10,-0.3699104164233898,0.07593762004942599,-0.5416932475440474,-0.19812758530273222,10,-0.16666666666666666,0.27329719724997426,-0.7849078789983698,0.4515745456650365,10,0.2865079365079365,0.05894913654896417,0.15315572502292774,0.41986014799294524
300,0.9,2.0,2,global,10,3,0.3,10,3,4,2,1,0,2,0.0,"{""both_failed_constraints"": 6, ""candidate_failed_constraints"": 1}",3,3.700743415417188e-17,0.11111111111111112,-0.47807252552771795,0.47807252552771806,10,-0.0017212987558587356,0.01156378863472847,-0.02788040604499422,0.024437808533276748,10,-0.2000000000000001,0.3520662115056635,-0.9964291021367645,0.5964291021367644,10,0.8272222222222222,0.05687597509678298,0.6985598277659022,0.9558846166785422
300,0.9,2.0,2,loco-matched,10,2,0.2,10,3,4,1,1,0,1,0.018421052631578946,"{""both_failed_constraints"": 5, ""candidate_failed_constraints"": 2, ""comparator_failed_constraints"": 1}",2,-0.055555555555555525,0.27777777777777773,-3.5850568711596367,3.473945760048526,10,0.00429174739705458,0.014781656000946372,-0.029146681603505326,0.03773017639761449,10,-0.5666666666666667,0.3785938897200182,-1.4231055460884394,0.2897722127551061,10,0.44873015873015865,0.05082549707128619,0.3337548964775694,0.5637054209827479
300,0.9,2.0,4,global,10,5,0.5,10,5,5,0,1,4,0,0.0,"{""both_failed_constraints"": 5}",5,-0.04444444444444444,0.04444444444444443,-0.16784200467545746,0.07895311578656856,10,-6.336439269748473e-05,0.004683196629849371,-0.010657491193703654,0.010530762408308683,10,-0.26666666666666666,0.17069212773041353,-0.6527990860452877,0.11946575271195442,10,0.8805555555555555,0.029000851413640418,0.8149510718029425,0.9461600393081686
300,0.9,2.0,4,loco-matched,10,2,0.2,10,5,3,0,1,1,0,0.030831099195710455,"{""both_failed_constraints"": 4, ""candidate_failed_constraints"": 1, ""comparator_failed_constraints"": 3}",2,-0.1111111111111111,0.11111111111111109,-1.5229116373527436,1.3006894151305213,10,-0.00398952154974338,0.013617952707120991,-0.03479547080880434,0.026816427709317574,10,-0.5999999999999999,0.2973130702279922,-1.2725688914097781,0.0725688914097784,10,0.5684920634920635,0.040629968627382364,0.47658068893736416,0.6604034380467628
1000,0.5,0.25,2,global,10,5,0.5,10,5,6,1,0,4,1,0.0,"{""both_failed_constraints"": 4, ""candidate_failed_constraints"": 1}",5,0.04444444444444444,0.04444444444444443,-0.07895311578656856,0.16784200467545746,10,0.008521250568964956,0.008568768172321705,-0.010862649728409873,0.027905150866339785,10,0.3,0.21343747458109494,-0.18282911193318369,0.7828291119331836,10,0.875,0.04815705045905867,0.7660611833648059,0.9839388166351941
1000,0.5,0.25,2,loco-matched,10,5,0.5,10,5,6,1,1,3,1,0.018421052631578946,"{""both_failed_constraints"": 4, ""candidate_failed_constraints"": 1}",5,0.02222222222222222,0.05443310539518173,-0.12890830681294568,0.17335275125739014,10,0.020151744627998004,0.01235991065882818,-0.007808315800416042,0.04811180505641205,10,-0.13333333333333336,0.16629588385661961,-0.5095207581434438,0.24285409147677706,10,0.6918253968253969,0.07256397715267074,0.5276742761483575,0.8559765175024363
1000,0.5,0.25,4,global,10,6,0.6,10,6,6,0,1,5,0,0.0,"{""both_failed_constraints"": 4}",6,-0.018518518518518517,0.018518518518518517,-0.06612188584511694,0.029084848808079898,10,-0.001613091942430689,0.0070713042227916675,-0.017609493440344053,0.014383309555482674,10,0.16666666666666669,0.15112745009706047,-0.1752073770658269,0.5085407103991603,10,0.9188888888888889,0.026965913554470214,0.8578877543902469,0.9798900233875308
1000,0.5,0.25,4,loco-matched,10,5,0.5,10,6,6,1,0,4,1,0.030831099195710455,"{""both_failed_constraints"": 3, ""candidate_failed_constraints"": 1, ""comparator_failed_constraints"": 1}",5,0.022222222222222233,0.022222222222222233,-0.03947655789328432,0.08392100233772878,10,-0.008112748457803853,0.019149514490876096,-0.051431959827447235,0.03520646291183953,10,-0.2666666666666666,0.197515431495902,-0.7134776147882995,0.18014428145496625,10,0.6625396825396825,0.06134016488585838,0.523778589175915,0.8013007759034501
